"","Var1","mean","sd","point"
"1","RSO",1.15066462476366,0.141661495097577,0
"1.1","RSO",0.939637916225371,0.2524087752996,5
"1.2","RSO",0.66932297256014,0.428714859306897,10
"1.3","RSO",0.376907507511382,0.633386452730939,15
"1.4","RSO",0.302666819710828,0.590914506020169,20
"1.5","RSO",0.117372607985715,0.663522220998769,25
"1.6","RSO",-0.29556469848866,0.976493493144985,30
"1.7","RSO",-0.55988348066892,1.00030049662355,35
"1.8","RSO",-0.567660926583921,0.998811757014316,40
"1.9","RSO",-0.623320321544082,0.956385912656811,45
"1.10","RSO",-0.725649621205271,1.00669511280678,50
"1.11","RSO",-0.727971208457121,1.00298965584996,55
"1.12","RSO",-0.750510292173022,1.00043033464929,60
"1.13","RSO",-0.826918909874954,1.09528615027785,65
"1.14","RSO",-0.84956140699355,1.06154742315357,70
"1.15","RSO",-0.893499532657662,1.0383914491985,75
"1.16","RSO",-0.90281759228127,1.034454039361,80
"1.17","RSO",-0.913822777515999,1.01872580513729,85
"1.18","RSO",-0.971985473219077,0.951603146244667,90
"2","EGO",1.15066462476366,0.141661495097577,0
"2.1","EGO",0.955664470272965,0.197148101075788,5
"2.2","EGO",0.713755691934712,0.306509297591273,10
"2.3","EGO",0.613639436177541,0.300163824220348,15
"2.4","EGO",0.4418942843462,0.444022348993084,20
"2.5","EGO",0.328564159465061,0.50080220963274,25
"2.6","EGO",0.259931047714218,0.498437619911814,30
"2.7","EGO",0.257176234353572,0.496260010186078,35
"2.8","EGO",0.235659840467944,0.473474045473305,40
"2.9","EGO",0.223140881787055,0.468233012314914,45
"2.10","EGO",0.219719527580318,0.463728513357246,50
"2.11","EGO",0.184495782518608,0.467682848839662,55
"2.12","EGO",0.141691163711104,0.461714844449999,60
"2.13","EGO",0.141310488146391,0.461671974804631,65
"2.14","EGO",0.0645808341183348,0.469762602552549,70
"2.15","EGO",0.0567827957783634,0.456233369637833,75
"2.16","EGO",0.0567827957783634,0.456233369637833,80
"2.17","EGO",-0.00195409516019899,0.477475222858741,85
"2.18","EGO",-0.0150480009042663,0.467437662183713,90
"3","TREGO",1.15066462476366,0.141661495097577,0
"3.1","TREGO",0.983833311198882,0.163575813677079,5
"3.2","TREGO",0.689581131610161,0.319557735842601,10
"3.3","TREGO",0.492852977664568,0.327456524583841,15
"3.4","TREGO",0.414491743626782,0.343745323857164,20
"3.5","TREGO",0.208605833150651,0.452259773570695,25
"3.6","TREGO",0.142976626573378,0.454394981210747,30
"3.7","TREGO",0.124885462552964,0.430569080326155,35
"3.8","TREGO",0.105430492896509,0.425522591287859,40
"3.9","TREGO",0.0238356498466935,0.395243512083153,45
"3.10","TREGO",0.0238356498466935,0.395243512083153,50
"3.11","TREGO",0.00600261162318672,0.402790312732483,55
"3.12","TREGO",-0.0335670304524861,0.402412018270822,60
"3.13","TREGO",-0.0335670304524861,0.402412018270822,65
"3.14","TREGO",-0.0726138004553403,0.379220779108127,70
"3.15","TREGO",-0.073041895262539,0.379108307195415,75
"3.16","TREGO",-0.073041895262539,0.379108307195415,80
"3.17","TREGO",-0.0816224676300749,0.380981201739885,85
"3.18","TREGO",-0.0816950613545851,0.380864301150522,90
